personDisplayName,firstName,middleName,lastName,jobTitle,company,bio,comments
"Dennis Brixius, CSO, McGraw-Hill Companies; Co-chair, SC Awards Committee",Dennis,,Brixius,"CSO,McGraw-Hill Companies; Co-chair",SC Awards Committee,,
"Johnnie Konstantas, vice president of marketing, Varonis",Johnnie,,Konstantas,vice president of marketing,Varonis,,
"Jason Holmberg, senior product manager, FrontRange Solutions",Jason,,Holmberg,senior product manager,FrontRange Solutions,,
"John Addeo, practice director, advanced security, Dimension Data Americas",John,,Addeo,"practice director,advanced security",Dimension Data Americas,,
"Vern Cole, chief security officer, Varolii Corporation",Vern,,Cole,chief security officer,Varolii Corporation,,
"Michael Seese, assistant vice president in the corporate security services division of National City Corporation",Michael,,Seese,assistant vice president in the corporate security services division,National City Corporation,,
"John W. Thompson, chairman, CEO, Symantec Corporation",John,W.,Thompson,"chairman,CEO",Symantec Corporation,,
"Val Rahmani, general manager, IBM Internet Security Systems",Val,,Rahmani,general manager,IBM Internet Security Systems,,
"Dave Hansen, senior vice president and general manager of CA's Security Management business",Dave,,Hansen,senior vice president and general manager,CA's Security Management business,,
"Jim Bidzos, vice chairman of the board, VeriSign",Jim,,Bidzos,vice chairman of the board,VeriSign,,
"Jackie Gilbert, founder and VP of marketing, SailPoint",Jackie,,Gilbert,founder and VP of marketing,SailPoint,,
"Dan Nadir, VP of product strategy, ScanSafe",Dan,,Nadir,VP of product strategy,ScanSafe,,
"Danielle Zeedick, Norwich University",Danielle,,Zeedick,,Norwich University,,
"Timur Taluy, executive vice president, FileYourTaxes.com",Timur,,Taluy,executive vice president,FileYourTaxes.com,,
"Günter Ollmann, chief security strategist, IBM Internet Security Systems",Günter,,Ollmann,chief security strategist,IBM Internet Security Systems,,
"Dan Lohrmann, Michigan CISO",Dan,,Lohrmann,CISO,,,
"Rajesh Venkat, segment marketing director, McAfee",Rajesh,,Venkat,segment marketing director,McAfee,,
"Scott Heinlein, service provider marketing manager, Juniper Networks",Scott,,Heinlein,service provider marketing manager,Juniper Networks,,
"Rodney Joffe, senior vice president and senior technologist, NeuStar",Rodney,,Joffe,senior vice president and senior technologist,NeuStar,,
"Mark Bregman, CTO, Symantec Corp.",Mark,,Bregman,CTO,Symantec Corp,,
"Guillaume Lovet, Manager, Threat Response Team, Fortinet",Guillaume,,Lovet,"Manager,Threat Response Team",Fortinet,,
"David Navetta, InfoSecCompliance LLC",David,,Navetta,,InfoSecCompliance LLC,,
"Ron Baklarz, chief information security officer, MedStar Health",Ron,,Baklarz,chief information security officer,MedStar Health,,
Richard Thurston,Richard,,Thurston,,,,
"Michael Weider, director of security solutions, IBM Rational",Michael,,Weider,director of security solutions,IBM Rational,,
"Rosen Sharma, CTO, Solidcore",Rosen,,Sharma,CTO,Solidcore,,
"Brian Chess, founder and chief scientist, Fortify Software",Brian,,Chess,founder and chief scientist,Fortify Software,,
"Gordon Rapkin, president and CEO, Protegrity",Gordon,,Rapkin,president and CEO,Protegrity,,
"Maurice Hampton, information security program manager, GE Corporate",Maurice,,Hampton,information security program manager,GE Corporate,,
"Michelle Drolet, CEO, Towerwall",Michelle,,Drolet,CEO,Towerwall,,
Eric Butterman,Eric,,Butterman,,,,
"Eric Winsborrow, chief marketing officer, Sipera Systems",Eric,,Winsborrow,chief marketing officer,Sipera Systems,,
"Davi Ottenheimer, director of compliance solutions, ArcSight",Davi,,Ottenheimer,director of compliance solutions,ArcSight,,
"John Carmichael, senior security trainer, Security Innovation",John,,Carmichael,senior security trainer,Security Innovation,,
"Andre Protas,director of research & preview services, eEye Digital Security",Andre,,Protas,director of research & preview services,eEye Digital Security,,
"Brian Berger, executive vice president for marketing and sales, Wave Systems Corp",Brian,,Berger,"executive vice president,marketing and sales",Wave Systems Corp,,
"Dan Dearing, vice president of marketing, Trust Digital",Dan,,Dearing,vice president of marketing,Trust Digital,,
"Joel Hagberg, vp, marketing and business development, Fujitsu Technology Products",Joel,,Hagberg,"vp,marketing and business development",Fujitsu Technology Products,,
Shaun Nichols,Shaun,,Nichols,,,,
"Don Gray, vice president, Solutionary",Don,,Gray,vice president,Solutionary,,
"Michael Cooper, principal, LEVER/edge",Michael,,Cooper,principal,LEVER/edge,,
"Ryan Sherstobitoff, chief corporate evangelist, Panda Security USA",Ryan,,Sherstobitoff,chief corporate evangelist,Panda Security USA,,
Clement James,Clement,,James,,,,
"Rob Pfrogner, security services product manager, Virtela Communications",Rob,,Pfrogner,security services product manager,Virtela Communications,,
Negar Salek,Negar,,Salek,,,,
"Josh Shaul, director, technology strategy, Application Security",Josh,,Shaul,"director,technology strategy, Application Security",,,
Joy Persaud,Joy,,Persaud,,,,
Nick Farrell,Nick,,Farrell,,,,
Iain Thomson,Iain,,Thomson,,,,
"Amol Sarwate, manager, Vulnerabilities Research Lab, Qualys",Amol,,Sarwate,"manager,Vulnerabilities Research Lab",Qualys,,
"Itzik Kotler, security operation center team leader, Radware",Itzik,,Kotler,security operation center team leader,Radware,,
"Yuval Tarsi, founder & CTO, WorkLight",Yuval,,Tarsi,founder & CTO,WorkLight,,
"David Lawson, director, risk management and compliance, Acumen Solutions",David,,Lawson,"director,risk management and compliance",Acumen Solutions,,
"Harish Rao, chairman & CEO, nSolutions",Harish,,Rao,chairman & CEO,nSolutions,,
"Howard Schmidt, former cybersecurity adviser to the White House",Howard,,Schmidt,former cybersecurity adviser,The White House,,
Dan Raywood,Dan,,Raywood,,,,
"David Hobson, managing director of Global Gecure Systems",David,,Hobson,managing director,Global Gecure Systems,,
Andrew Donoghue,Andrew,,Donoghue,,,,
"Courtlend Little, service and solutions architect, Solutionary",Courtlend,,Little,service and solutions architect,Solutionary,,
Dina Kleyman,Dina,,Kleyman,,,,
"Kenneth Geers, U.S. representative (NCIS), Cooperative Cyber Defense, Center of Excellence",Kenneth,,Geers,"U.S. representative, Cooperative Cyber Defense",NCIS,,
"Sumedh Thakar, PCI solutions manager, Qualys",Sumedh,,Thakar,PCI solutions manager,Qualys,,
"Tom Oscherwitz, chief privacy officer/VP of government affairs, ID Analytics",Tom,,Oscherwitz,chief privacy officer/VP of government affairs,ID Analytics,,
"Greg Bell, principal, KPMG's IT advisory services practice",Greg,,Bell,principal,KPMG's IT advisory services practice,,
"Dennis Devlin, chief information security officer, Brandeis University",Dennis,,Devlin,chief information security officer,Brandeis University,,
"Scott McCarley, director of marketing, BeyondTrust",Scott,,McCarley,director of marketing,BeyondTrust,,
"Dr. Avishai Wool, CTO and co-founder, AlgoSec",Avishai,,Wool,CTO and co-founder,AlgoSec,,
"Bill Ledingham, CTO, Verdasys",Bill,,Ledingham,CTO,Verdasys,,
Staff Report,,,,,,,
"Amol Sarwate, manager, Vulnerabilities Research Lab",Amol,,Sarwate,manager,Vulnerabilities Research Lab,,
Angela Moscaritolo,Angela,,Moscaritolo,,,,
"Steven K. Sprague, president and CEO, Wave Systems",Steven,K.,Sprague,president and CEO,Wave Systems,,
"Eugene Kaspersky, founder and CEO, Kaspersky Lab",Eugene,,Kaspersky,founder and CEO,Kaspersky Lab,,
"Martin Lee, software engineer, MessageLabs",Martin,,Lee,software engineer,MessageLabs,,
"Bill Unrue, president, Anonymizer",Bill,,Unrue,president,Anonymizer,,
"Brian Dirking, principal product director, Oracle",Brian,,Dirking,principal product director,Oracle,,
"Jackson Shaw, Quest Software",Jackson,,Shaw,,Quest Software,,
"Christophe Briguet, chief technology officer, Exaprotect",Christophe,,Briguet,chief technology officer,Exaprotect,,
"Mark Steinhoff, Deloitte",Mark,,Steinhoff,,Deloitte,,
"Michael Callahan, VP, global marketing, Credant Technologies",Michael,,Callahan,"VP,global marketing",Credant Technologies,,
"Steve Lafferty, vice president, Marketing, Prism Microsystems",Steve,,Lafferty,"vice president,Marketing",Prism Microsystems,,
"David Sancho, senior threat researcher, Trend Micro",David,,Sancho,senior threat researcher,Trend Micro,,
"Jim Hietala, vice president, Security, The Open Group",Jim,,Hietala,"vice president,Security",The Open Group,,
"Marc Goodman, director of marketing, KEMP Technologies",Marc,,Goodman,director of marketing,KEMP Technologies,,
Derek Parkinson,Derek,,Parkinson,,,,
"Kevin Prince, chief architect, Perimeter eSecurity",Kevin,,Prince,chief architect,Perimeter eSecurity,,
"Deepak Taneja, founder, president and CTO, Aveksa",Deepak,,Taneja,"founder,president and CTO",Aveksa,,
"Calum Macleod, Western European director, Cyber-Ark",Calum,,Macleod,Western European director,Cyber-Ark,,
"Monte Robertson, president and CEO, Software Security Solutions",Monte,,Robertson,president and CEO,Software Security Solutions,,
"Prat Moghe, CEO, Tizor",Prat,,Moghe,CEO,Tizor,,
"Kowsik Guruswamy, co-founder and CTO, Mu Dynamics",Kowsik,,Guruswamy,co-founder and CTO,Mu Dynamics,,
"Chenxi Wang, principal analyst, Forrester Research",Chenxi,,Wang,principal analyst,Forrester Research,,
"Rob Tourt, chair, PCI Security Standards Council",Rob,,Tourt,chair,PCI Security Standards Council,,
"Richard Moulds, EVP, product strategy, Thales Group (formerly nCipher)",Richard,,Moulds,"EVP,product strategy",Thales Group (formerly nCipher),,
"Rob Rachwald, director of product marketing, Fortify Software",Rob,,Rachwald,director of product marketing,Fortify Software,,
"David Meizlik, senior manager for data security solutions, Websense",David,,Meizlik,"senior manager,data security solutions",Websense,,
"Stephane Fymat, VP of product management and strategy, Passlogix",Stephane,,Fymat,VP of product management and strategy,Passlogix,,
"David Fishering, homeland security industry analyst, Frost & Sullivan",David,,Fishering,homeland security industry analyst,Frost & Sullivan,,
"John H. Capobianco, president and CEO, Lumigent Technologies",John,H.,Capobianco,president and CEO,Lumigent Technologies,,
"Philip Hoyer, technical architect, ActivIdentity EMEA",Philip,,Hoyer,technical architect,ActivIdentity EMEA,,
"Sara Gates, chief strategy officer, Agiliance",Sara,,Gates,chief strategy officer,Agiliance,,
"Shannon Culp, CSO for a Midwest health care organization",Shannon,,Culp,CSO,a Midwest health care organization,,
"Chuck Buffum, VP, caller authentication solutions, Nuance Communications",Chuck,,Buffum,"VP,caller authentication solutions",Nuance Communications,,
"Nagraj Seshadri, product marketing manager, Utimaco",Nagraj,,Seshadri,product marketing manager,Utimaco,,
"Todd Ignasiak, Altor Networks",Todd,,Ignasiak,,Altor Networks,,
"Kerry Loftus, vice president, Consumer Authentication Solutions, VeriSign",Kerry,,Loftus,"vice president,Consumer Authentication Solutions",VeriSign,,
"Michael Callahan, VP global marketing, Credant",Michael,,Callahan,VP global marketing,Credant,,
Jean Thilmany,Jean,,Thilmany,,,,
"John Linkous, IT governance, risk and compliance evangelist, eIQnetworks",John,,Linkous,"IT governance,risk and compliance evangelist",eIQnetworks,,
"Rich Campagna, Juniper Networks",Rich,,Campagna,,Juniper Networks,,
"Duncan McPherson, CEO, Unitrends",Duncan,,McPherson,CEO,Unitrends,,
"David Ting, founder and CTO, Imprivata",David,,Ting,founder and CTO,Imprivata,,
"Paul Smith, president/CEO, PacketMotion",Paul,,Smith,president/CEO,PacketMotion,,
"Gene Kim, chief technology officer, Tripwire",Gene,,Kim,chief technology officer,Tripwire,,
"Stephen Scharf, SVP & global CISO, Experian",Stephen,,Scharf,SVP & global CISO,Experian,,
"Sean Martin, VP of marketing, SkyRecon Systems",Sean,,Martin,VP of marketing,SkyRecon Systems,,
"Keith Hamilton, senior consultant, Concordant",Keith,,Hamilton,senior consultant,Concordant,,
"Steve Pate, chief technology officer, Vormetric",Steve,,Pate,chief technology officer,Vormetric,,
Victor Cruz,Victor,,Cruz,,,,
"Mike Simms, vice president, EADS Defence & Security Systems",Mike,,Simms,vice president,EADS Defence & Security Systems,,
"Kurt Johnson, VP of corporate development, Courion",Kurt,,Johnson,VP of corporate development,Courion,,
"Charles Moore, director of operations, RingCube Technologies",Charles,,Moore,director of operations,RingCube Technologies,,
"Thomas Varghese, vice president of product management, Oracle",Thomas,,Varghese,vice president of product management,Oracle,,
"Ruvi Kitov, CEO and co-founder, Tufin Technologies",Ruvi,,Kitov,CEO and co-founder,Tufin Technologies,,
"Luther Martin, chief security architect, Voltage Security",Luther,,Martin,chief security architect,Voltage Security,,
"Steve Katz, founder and president, Security Risk Solutions",Steve,,Katz,founder and president,Security Risk Solutions,,
"Richard Starnes, president, ISSA Bluegrass Chapter",Richard,,Starnes,president,ISSA Bluegrass Chapter,,
"Andrew Oehler, product manager, F5 Networks",Andrew,,Oehler,product manager,F5 Networks,,
"John Landwehr, director, security solutions and strategy for Adobe Systems",John,,Landwehr,"director,security solutions and strategy",Adobe Systems,,
"Sam Masiello, VP of information security, MX Logic",Sam,,Masiello,VP of information security,MX Logic,,
"Brian Cleary, vice president of products and marketing, Aveksa",Brian,,Cleary,vice president of products and marketing,Aveksa,,
"Mike Lloyd, chief scientist, RedSeal Systems",Mike,,Lloyd,chief scientist,RedSeal Systems,,
"Brian Wolfe, partner, Laurus Technologies",Brian,,Wolfe,partner,Laurus Technologies,,
"Stephane Fymat, VP of strategy and product management, Passlogix",Stephane,,Fymat,VP of strategy and product management,Passlogix,,
"Nicholas Arvanitis, solutions architect, security, Dimension Data",Nicholas,,Arvanitis,"solutions architect,security",Dimension Data,,
"Jaime Chanaga, CEO, The CSO Board",Jaime,,Chanaga,CEO,The CSO Board,,
"Gretchen McCoy, Senior VP of the Technology Management Division for Visa International, Retired; Strategic Advisory Board member, Rohati Systems",Gretchen,,McCoy,"Senior VP of the Technology Management Division,Visa International,Retired; Strategic Advisory Board member",Rohati Systems,,
"Kevin Piper, Altor Networks",Kevin,,Piper,,Altor Networks,,
"Andrew McLennan, founder and CEO, Metaforic",Andrew,,McLennan,founder and CEO,Metaforic,,
"Christian Kirsch, senior manager, international product marketing, THALES Information Systems Security",Christian,,Kirsch,"senior manager,international product marketing",THALES Information Systems Security,,
"Leslie Guy Buckalew, vice president for sales and marketing, WebLOQ",Leslie,Guy,Buckalew,"vice president,sales and marketing",WebLOQ,,
"Gary McAlum, senior manager, Deloitte & Touche",Gary,,McAlum,senior manager,Deloitte & Touche,,
"Chris Schwartzbauer, Shavlik Technologies",Chris,,Schwartzbauer,,Shavlik Technologies,,
"Adam Bosnian, Cyber-Ark Software",Adam,,Bosnian,,Cyber-Ark Software,,
"Tal Golan, founder and CTO, Sendio",Tal,,Golan,founder and CTO,Sendio,,
"John Stewart, CSO, Cisco Systems",John,,Stewart,CSO,Cisco Systems,,
"Jose Nazario, Arbor Network",Jose,,Nazario,,Arbor Network,,
"Al Raymond, chief privacy officer, PHH Mortgage",Al,,Raymond,chief privacy officer,PHH Mortgage,,
"Mike Boberski, project lead and co-author, Open Web Application Security Project ASVS",Mike,,Boberski,project lead and co-author,Open Web Application Security Project ASVS,,
"Greg Hoglund, CEO, HBGary",Greg,,Hoglund,CEO,HBGary,,
"Mark Wilcox, principal product manager, Oracle",Mark,,Wilcox,principal product manager,Oracle,,
"Greg Bell, partner, KPMG, risk and advisory services practice",Greg,,Bell,"partner,KPMG",risk and advisory services practice,,
"Jody Brazil, founder, president and CTO, Secure Passage",Jody,,Brazil,"founder,president and CTO",Secure Passage,,
"Brian Eberhardy, senior consulting engineer for SenSage",Brian,,Eberhardy,senior consulting engineer,SenSage,,
"Lisa Lorenzin, principal solutions architect, Juniper Networks",Lisa,,Lorenzin,principal solutions architect,Juniper Networks,,
"Max Huang, founder and president, O2Security",Max,,Huang,founder and president,O2Security,,
"Doug Concepcion, CISO, UNFPA (the United Nations Population Fund)",Doug,,Concepcion,CISO,UNFPA (the United Nations Population Fund),,
"Jeff Prince, chairman and CTO, ConSentry Networks",Jeff,,Prince,chairman and CTO,ConSentry Networks,,
"David Kelleher, communications and research analyst, GFI Software",David,,Kelleher,communications and research analyst,GFI Software,,
"Willie Rushton, owner and principle consultant, WLR & Associates",Willie,,Rushton,owner and principle consultant,WLR & Associates,,
Brian Hook,Brian,,Hook,,,,
"Jackie Gilbert, vice president of product and marketing, SailPoint",Jackie,,Gilbert,vice president of product and marketing,SailPoint,,
"Andrew Storms, director of security operations, nCircle",Andrew,,Storms,director of security operations,nCircle,,
"Jeff Nielsen, director of development and quality assurance, Symark International",Jeff,,Nielsen,director of development and quality assurance,Symark International,,
"Lysa Myers, director of research, West Coast Labs",Lysa,,Myers,director of research,West Coast Labs,,
"Gal Salomon, CEO, Discretix",Gal,,Salomon,CEO,Discretix,,
"Jennifer Bayuk, principal, Jennifer L. Bayuk LLC",Jennifer,,Bayuk,principal,Jennifer L. Bayuk LLC,,
"Michael Rothschild, solutions marketing, Juniper Networks",Michael,,Rothschild,solutions marketing,Juniper Networks,,
"Pulina Whitaker, partner and head of employment and benefits practice, King & Spalding",Pulina,,Whitaker,partner and head of employment and benefits practice,King & Spalding,,
"Jim Lacy, CFO, ZirMed",Jim,,Lacy,CFO,ZirMed,,
"Eric Knight, senior knowledge engineer, LogRhythm",Eric,,Knight,senior knowledge engineer,LogRhythm,,
"Eric Olden, founder and CIO, Symplified",Eric,,Olden,founder and CIO,Symplified,,
"Ed Gaudet, SVP of corporate development and marketing, Liquid Machines",Ed,,Gaudet,SVP of corporate development and marketing,Liquid Machines,,
"Ted DeZabala, national managing partner, security & privacy services, Deloitte & Touche",Ted,,DeZabala,"national managing partner,security & privacy services",Deloitte & Touche,,
"Dr. Stanton Sloane, president and CEO, SRA International",Stanton,,Sloane,president and CEO,SRA International,,
"Jeff Neilsen, director of development, Symark",Jeff,,Neilsen,director of development,Symark,,
"Mark Carney, managing director, FishNet Security",Mark,,Carney,managing director,FishNet Security,,
"Jeffrey Rogers, chief architect, Risk Advisory Services, Unisys",Jeffrey,,Rogers,"chief architect,Risk Advisory Services",Unisys,,
"Karthik Kannan, VP, marketing and business development, Kazeon",Karthik,,Kannan,"VP,marketing and business development",Kazeon,,
"Chris Sullivan, vice president of customer solutions, Courion Corporation",Chris,,Sullivan,vice president of customer solutions,Courion Corporation,,
"Daryl Miller, VP of engineering, Lantronix",Daryl,,Miller,VP of engineering,Lantronix,,
"Kevin Skapinetz, technology strategist, IBM Internet Security Systems",Kevin,,Skapinetz,technology strategist,IBM Internet Security Systems,,
"Leslie Buckalew, VP, sales & marketing, WebLOQ",Leslie,,Buckalew,"VP,sales & marketing",WebLOQ,,
"Jeff Forristal, senior security engineer, Zscaler",Jeff,,Forristal,senior security engineer,Zscaler,,
"Shawn Eldridge, VP, marketing and products, BorderWare Technologies",Shawn,,Eldridge,"VP,marketing and products",BorderWare Technologies,,
"Johnnie Konstantas, VP marketing, Varonis Systems",Johnnie,,Konstantas,VP marketing,Varonis Systems,,
"Rick Howard, director, VeriSign iDefense Security Intelligence Services",Rick,,Howard,director,VeriSign iDefense Security Intelligence Services,,
"Venkat Raghaven, director product management, security, risk and compliance, Tivoli Software, IBM Software Group",Venkat,,Raghaven,"director product management,security,risk and compliance,Tivoli Software",IBM Software Group,,
"Joe Leonard, security practice manager, Presidio Networked Solutions",Joe,,Leonard,security practice manager,Presidio Networked Solutions,,
"Fran Rosch, SVP, user authentication, VeriSign",Fran,,Rosch,"SVP,user authentication",VeriSign,,
"Gary Palgon, VP, nuBridges",Gary,,Palgon,VP,nuBridges,,
"Craig Spiezle, executive director, Online Trust Alliance",Craig,,Spiezle,executive director,Online Trust Alliance,,
"Kris Rowley, system security director, Department of Information and Innovation, State of Vermont",Kris,,Rowley,"system security director,Department of Information and Innovation",State of Vermont,,
"Bharat Nair, VP, Delfigo Security",Bharat,,Nair,VP,Delfigo Security,,
"Robert Brandewie, Telos Corporation",Robert,,Brandewie,,Telos Corporation,,
"Gerhard Eschelbeck, CTO and VP, engineering, Webroot Software",Gerhard,,Eschelbeck,"CTO and VP,engineering",Webroot Software,,
"Jon Green, VP, Aruba Networks",Jon,,Green,VP,Aruba Networks,,
"Brian Cleary, VP, Aveksa",Brian,,Cleary,VP,Aveksa,,
"W. Hord Tipton, executive director, (ISC)2",W.,Hord,Tipton,executive director,(ISC)2,,
"Ganesh Vednere, consultant, content and records management",Ganesh,,Vednere,"consultant, content and records management",,,
"Justin Somaini, CISO, Symantec",Justin,,Somaini,CISO,Symantec,,
"Paul Royal, principal researcher, Purewire",Paul,,Royal,principal researcher,Purewire,,
"Debbie Cuadros, VP, business development and partner relations, Simeio Solutions",Debbie,,Cuadros,"VP,business development and partner relations",Simeio Solutions,,
"Amol Sawarte, manager, Vulnerabilities Research Lab, Qualys",Amol,,Sawarte,"manager,Vulnerabilities Research Lab",Qualys,,
"Jeremiah Grossman, chief technology officer, WhiteHat Security",Jeremiah,,Grossman,chief technology officer,WhiteHat Security,,
"Christopher Burgess, senior security adviser, Cisco Systems",Christopher,,Burgess,senior security adviser,Cisco Systems,,
"Prat Moghe, general manager, Data Compliance, Netezza",Prat,,Moghe,"general manager,Data Compliance",Netezza,,
"Richard Jacobs, Chief Technology Officer, Sophos",Richard,,Jacobs,Chief Technology Officer,Sophos,,
"Scott Gordon, VP of marketing and business development, AccelOps",Scott,,Gordon,VP of marketing and business development,AccelOps,,
"Jeff Bardin, VP, CSO for ITSolutions",Jeff,,Bardin,"VP,CSO",ITSolutions,,
"Jim Reavis, executive director, Cloud Security Alliance",Jim,,Reavis,executive director,Cloud Security Alliance,,
"Sarah Fender, VP product management, PhoneFactor",Sarah,,Fender,VP product management,PhoneFactor,,
"Mike Toergersen, VP and CIO, SonicWALL",Mike,,Toergersen,VP and CIO,SonicWALL,,
"Darryl Gordon, Breach Security",Darryl,,Gordon,Breach Security,,,
"Michael Chernin, vulnerability subject matter expert, corporate information security, Depository Trust & Clearing Corp.",Michael,,Chernin,"vulnerability subject matter expert,corporate information security",Depository Trust & Clearing Corp,,
"Paul Zimski, VP of market strategy, Lumension",Paul,,Zimski,VP of market strategy,Lumension,,
"Dan Dearing, vice president, Trust Digital",Dan,,Dearing,vice president,Trust Digital,,
"Andy Cordial, managing director, Origin Storage",Andy,,Cordial,managing director,Origin Storage,,
"David Jevans, Chief Executive Officer, IronKey",David,,Jevans,Chief Executive Officer,IronKey,,
"Gary Steele, CEO, Proofpoint",Gary,,Steele,CEO,Proofpoint,,
"Ronan Kavanagh, CEO, SpamTitan",Ronan,,Kavanagh,CEO,SpamTitan,,
"Eric Voskuil, CTO, BeyondTrust",Eric,,Voskuil,CTO,BeyondTrust,,
"Luther Martin, chief security architect at Voltage Security",Luther,,Martin,chief security architect,Voltage Security,,
"John Capobianco, president and CEO, Lumigent Technologies",John,,Capobianco,president and CEO,Lumigent Technologies,,
"Lib de Veyra, chairman, PCI Security Standards Council",Lib,de,Veyra,chairman,PCI Security Standards Council,,
"Brian Lapidus, chief operating officer, Kroll Fraud Solutions",Brian,,Lapidus,chief operating officer,Kroll Fraud Solutions,,
"David Fowler, SVP marketing and product development, VidSys",David,,Fowler,SVP marketing and product development,VidSys,,
"Ken Halley, CEO & co-founder, Gideon Technologies",Ken,,Halley,CEO & co-founder,Gideon Technologies,,
"Max Huang, founder and CEO, O2Security",Max,,Huang,founder and CEO,O2Security,,
"Chris Burchett, CTO and co-founder, Credant Technologies",Chris,,Burchett,CTO and co-founder,Credant Technologies,,
"Steve Dauber, vice president of marketing, RedSeal Systems",Steve,,Dauber,vice president of marketing,RedSeal Systems,,
"Michael Potters, CEO, The Glenmont Group",Michael,,Potters,CEO,The Glenmont Group,,
"Tony Dyhouse, director, cybersecurity program, Digital Systems Knowledge Transfer Network",Tony,,Dyhouse,"director,cybersecurity program",Digital Systems Knowledge Transfer Network,,
"Brian Grayek, VP, product management, CA",Brian,,Grayek,"VP,product management",CA Technologies,,
"Robert Fanelli, lieutenant colonel, U.S. Army",Robert,,Fanelli,lieutenant colonel,U.S. Army,,
"Kris Rowley, CISO, state of Vermont",Kris,,Rowley,CISO,state of Vermont,,
"Gary Kinghorn, senior product marketing manager for security products at 3Com Corproation",Gary,,Kinghorn,"senior product marketing manager,security products",3Com Corproation,,
"Fred Kost, director of security solutions marketing, Cisco",Fred,,Kost,director of security solutions marketing,Cisco,,
"Courtlend Little, senior product manager, Solutionary",Courtlend,,Little,senior product manager,Solutionary,,
"Amrit Williams, chief technology officer, BigFix",Amrit,,Williams,chief technology officer,BigFix,,
"Jack Daniel, support engineer, Astaro",Jack,,Daniel,support engineer,Astaro,,
"Peter Schlampp, vice president of product management and marketing, Solera Networks",Peter,,Schlampp,vice president of product management and marketing,Solera Networks,,
"Edward Amoroso, SVP/CSO, AT&T",Edward,,Amoroso,SVP/CSO,AT&T,,
"Jonathan McCormick, chief operating officer, Intermedia",Jonathan,,McCormick,chief operating officer,Intermedia,,
"Ray Bell, CEO, Grid Net",Ray,,Bell,CEO,Grid Net,,
"Jeremiah Grossman, founder and CTO, WhiteHat Security",Jeremiah,,Grossman,founder and CTO,WhiteHat Security,,
"Joel Rosenblatt, manager of computer and network security, Columbia University",Joel,,Rosenblatt,manager of computer and network security,Columbia University,,
"Carsten Eiram, chief security specialist, Secunia",Carsten,,Eiram,chief security specialist,Secunia,,
"Ben Khoushy, vice president endpoint security products, Check Point",Ben,,Khoushy,vice president endpoint security products,Check Point,,
"Mandeep Khera, CMO, Cenzic",Mandeep,,Khera,CMO,Cenzic,,
"Martin Lee, senior software engineer, Symantec Hosted Services",Martin,,Lee,senior software engineer,Symantec Hosted Services,,
"Jonathan Sander, IAM/Security analyst, Quest Software",Jonathan,,Sander,IAM/Security analyst,Quest Software,,
"Michael Angelo, security architect, NetIQ",Michael,,Angelo,security architect,NetIQ,,
"Steve Schlarman, eGRC solutions manager, Archer Technologies",Steve,,Schlarman,eGRC solutions manager,Archer Technologies,,
"Daniel Geer Jr., chief scientist emeritus, Verdasys",Daniel,,Geer Jr.,chief scientist emeritus,Verdasys,,
"Anne Lescher, product marketing manager, IBM Security Solutions",Anne,,Lescher,product marketing manager,IBM Security Solutions,,
"Glen Kosaka, director of marketing, Trend Micro",Glen,,Kosaka,director of marketing,Trend Micro,,
"Van Page, founder & president, CapSure",Van,,Page,founder & president,CapSure,,
"Ryan Barnett, director of application security, Breach Security",Ryan,,Barnett,director of application security,Breach Security,,
"Scott Charney, corporate VP, Trustworthy Computing, Microsoft",Scott,,Charney,"corporate VP,Trustworthy Computing",Microsoft,,
"Enrique Salem, president & CEO, Symantec",Enrique,,Salem,president & CEO,Symantec,,
Sean Martin,Sean,,Martin,,,,
"Dave Hansen, corporate SVP & GM, security and compliance business unit, CA",Dave,,Hansen,"corporate SVP & GM,security and compliance business unit",CA,,
"Dave DeWalt, president and chief executive officer, McAfee",Dave,,DeWalt,president and chief executive officer,McAfee,,
"Al Zollar, general manager, IBM Tivoli",Al,,Zollar,general manager,IBM Tivoli,,
"Steve Collins, security sector lead, Text 100 Public Relations",Steve,,Collins,security sector lead,Text 100 Public Relations,,
"Phillip Dunkelberger, president and CEO, PGP Corp.",Phillip,,Dunkelberger,president and CEO,PGP Corp,,
"Andrew Brown, director of security strategy, AmberPoint",Andrew,,Brown,director of security strategy,AmberPoint,,
"Vatsal Sonecha, vice president, TriCipher",Vatsal,,Sonecha,vice president,TriCipher,,
"Warren Mackensen, president, ProTracker Software",Warren,,Mackensen,president,ProTracker Software,,
"Ron Baklarz, CISO, Amtrak",Ron,,Baklarz,CISO,Amtrak,,
"Joyce Brocaglia, president, Alta Associates",Joyce,,Brocaglia,president,Alta Associates,,
"George Moore, information security architect, Brandeis University",George,,Moore,information security architect,Brandeis University,,
"Matthew Steele, director of strategic technology, Symantec",Matthew,,Steele,director of strategic technology,Symantec,,
"Mark Townsend, director of solutions management, Enterasys",Mark,,Townsend,director of solutions management,Enterasys,,
"Thomas Perniciaro, solutions architect, Accuvant",Thomas,,Perniciaro,solutions architect,Accuvant,,
"Ruvi Kitov, CEO, Tufin Technologies",Ruvi,,Kitov,CEO,Tufin Technologies,,
Michael Lipinski,Michael,,Lipinski,,,,
"John Bambenek, handler at the SANS Internet Storm Center and principal consultant for CIBER",John,,Bambenek,"handler,the SANS Internet Storm Center and principal consultant",CIBER,,
